query,review_link,review_title,review_text,review_date,review_timestamp,author_title,review_rating,review_media,owner_title,owner_response
https://www.tripadvisor.co.uk/Attraction_Review-g261667-d589955-Reviews-Bells_Beach-Torquay_Victoria.html,https://www.tripadvisor.co.uk/ShowUserReviews-g261667-d589955-r948867058-Bells_Beach-Torquay_Victoria.html,Iconic Beach to visit,"Next off to Bell Beach, about a 30 min drive away. Quite a few people around and plenty of surfers (perhaps the dregs from the the recent RipCurl Pro-Surfing competition. The swell was beckoning, so after snagging a few rad pipes, we dried off and ventured further south.",Written 29 April 2024,1714348800,Norm the Nomad,4,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/fe/22/97/caption.jpg,,
https://www.tripadvisor.co.uk/Attraction_Review-g261667-d589955-Reviews-Bells_Beach-Torquay_Victoria.html,https://www.tripadvisor.co.uk/ShowUserReviews-g261667-d589955-r941258770-Bells_Beach-Torquay_Victoria.html,Wave Right,"For the seasoned surfer, Bells beach renowned for its yearly Rip Curl pro surfing competition which attracts the international elite of its sport, offers long waves & big swells that are a board riders paradise. The surrounding headland provides a great vantage point to view the competition or just watch the aerial views on display by the daily surfers who attempt to master the waves. Acknowledgement is given to the land that was first home to the Gulidjan aboriginal peoples. Bells beach has brought great prominence to such surfing legends as: Kelly Slater, Mick Fanning, Mark Occhilupo. Its iconic long winding, wooden staircase & stunning sunsets make for a photographers dream. This is a must stop in Torquay along your drive on the Great Ocean Road.",Written 7 March 2024,1709769600,nitawilson70,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g261667-d589955-Reviews-Bells_Beach-Torquay_Victoria.html,https://www.tripadvisor.co.uk/ShowUserReviews-g261667-d589955-r931761416-Bells_Beach-Torquay_Victoria.html,Great views,The waves were breaking at Winkipop not Bells but still worth a visit. No flags or surf patrol so we headed back to Jan Juc for a swim,Written 31 December 2023,1703980800,Tom B,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g261667-d589955-Reviews-Bells_Beach-Torquay_Victoria.html,https://www.tripadvisor.co.uk/ShowUserReviews-g261667-d589955-r918430141-Bells_Beach-Torquay_Victoria.html,Speaking as a non surfer....,In the interest of full disclosure I've never 'hung ten'. Or even 5...<br /><br />So as a non surfer what was Bells Beach like? Well it is nice to see a place that's famous even if in a sphere you don't normally swim in. But for the non surfer the appeal is that it's quite an interesting little cove and beach. It's darn near perfect in shape with cliffs surrounding in. There are multiple lookouts there where you can get good views and watch the surfers do their thing. <br /><br />There is a reasonable amount of parking and facilities and you can include checking the place out in between checking out Jan Juc Beach and Bird Rock Lookout. So even if you aren't a surfer this is still a worthwhile piece of coastline to check out.,Written 25 September 2023,1695600000,Paul L,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g261667-d589955-Reviews-Bells_Beach-Torquay_Victoria.html,https://www.tripadvisor.co.uk/ShowUserReviews-g261667-d589955-r904415015-Bells_Beach-Torquay_Victoria.html,Stunning place to visit,"Absolutely beautiful place to visit. Beaches are beautiful and so much to see and do around the area. The town its self is expensive and very touristy. We enjoy doing some waterfalls, some beach walks and exploring around the area.",Written 20 July 2023,1689811200,Maree,5,"https://media-cdn.tripadvisor.com/media/photo-m/1280/29/ce/d6/e9/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/29/ce/d6/e8/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/29/ce/d6/e7/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/29/ce/d6/e6/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/29/ce/d6/e5/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-w/29/ce/d6/e4/caption.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g261667-d589955-Reviews-Bells_Beach-Torquay_Victoria.html,https://www.tripadvisor.co.uk/ShowUserReviews-g261667-d589955-r884987127-Bells_Beach-Torquay_Victoria.html,Flat ocean!,"We made a detour to visit this acclaimed surf beach, but completely lucked out as there were no waves! Plenty of hopeful surfers were bobbing about, attempting to catch a wave, but the water was flat! We believe that it is one of the world's best surf beaches with top class swells from the Southern Ocean!!",Written 6 April 2023,1680739200,Stewarts Vacation,3,"https://media-cdn.tripadvisor.com/media/photo-m/1280/28/bc/a5/c9/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/28/bc/a5/c8/caption.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g261667-d589955-Reviews-Bells_Beach-Torquay_Victoria.html,https://www.tripadvisor.co.uk/ShowUserReviews-g261667-d589955-r882254515-Bells_Beach-Torquay_Victoria.html,World's longest running surfing event,"Bells Beach hosts the world's longest running surfing event. This classic competition is held every Easter. Allthe world's best surfers compete. The surging waves come straight off the mighty Southern Ocean. Bells Beach is 100 km south-east of Melbourne. It's on the Surf Coast, near the towns of Torquay and Jan Juc. Geelong is the major regional center. The winner hoists the well-known bell as the symbol of triumph.",Written 15 March 2023,1678838400,Jeffry b,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g261667-d589955-Reviews-Bells_Beach-Torquay_Victoria.html,https://www.tripadvisor.co.uk/ShowUserReviews-g261667-d589955-r872654424-Bells_Beach-Torquay_Victoria.html,Bella beach,"Even early morning, r this evacuation is packed out with buddy surfers. A sight to behold!! Shame the toilets are not very clean. Infact…..they were quite filthy",Written 24 December 2022,1671840000,Paul Q,5,https://media-cdn.tripadvisor.com/media/photo-w/27/90/63/cd/caption.jpg,,
https://www.tripadvisor.co.uk/Attraction_Review-g261667-d589955-Reviews-Bells_Beach-Torquay_Victoria.html,https://www.tripadvisor.co.uk/ShowUserReviews-g261667-d589955-r870802306-Bells_Beach-Torquay_Victoria.html,Regular beach," One of the most peaceful places I have visited. Despite walking around the sand and letting the water wash my feet, I had a great time.",Written 5 December 2022,1670198400,rg3262,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g261667-d589955-Reviews-Bells_Beach-Torquay_Victoria.html,https://www.tripadvisor.co.uk/ShowUserReviews-g261667-d589955-r859698179-Bells_Beach-Torquay_Victoria.html,Nice place for a walk,"My wife and I visited this place during our recent holiday in Torquay where we stayed for two nights at The Sands Golf Resort.<br /><br />We walked several kilometres along the beach and hiking trails near the beach to enjoy the scenery and exercise.<br /><br />Bells Beach is Australia's most famous surf beach, home of the Rip Curl Pro surfing competition. Bells Beach is known to have some of the world's best surfing breaks with waves recorded as high as 15.5 metres.<br /><br />Bells Beach has been holding surfing competitions since 1961 and over more than half a century it has built a reputation as the location of the oldest surfing carnival in the world. It comprises a high concentration of quality surfing spots from Southside to Steps Reef including Centreside, Bells and Winki Pop.",Written 12 September 2022,1662940800,Traveller,5,"https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/37/1a/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/37/0b/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/36/e8/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/36/cc/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/36/a0/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/36/7e/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/34/27/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/34/1b/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/33/f4/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/33/b0/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/33/a6/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/33/92/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/33/83/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/33/6e/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/33/56/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/33/41/paraglider.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/33/38/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/33/2a/paraglider.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/33/22/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/2f/15/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/2e/e2/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/2e/b3/view.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/2e/7d/bells-beach-lookout.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/2e/2b/bells-beach-lookout.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/2e/03/bells-beach-lookout.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/2d/d5/bells-beach-lookout.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/2d/9e/bells-beach-lookout.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/2d/77/bells-beach-lookout.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/2d/29/bells-beach-lookout.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/2d/00/bells-beach-lookout.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/2c/c2/signage.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c9/2c/9b/signage.jpg",,
