query,review_link,review_title,review_text,review_date,review_timestamp,author_title,review_rating,review_media,owner_title,owner_response
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r951319348-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Changed Forever,"Nice beach but the real draw is the surf which at certain times of the year can reach epic proportions attracting some of the world's top surfers! My wife used to live in Cascais in the early 60s and would often ride horses or spend time on this beach. The area is now significantly more developed with restaurants, several  hotels and large residential developments. Oh well that's progress I guess!",Written 18 May 2024,1715990400,jaybeeFL,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r949715350-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,"Great beach, particularly for surfers.","Great beach, particularly for surfers. Lifeguard on duty so good for (experienced) swimmers also. Well worth a visit.",Written 6 May 2024,1714953600,Peter S,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r935590246-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Good,It is a famous beach frequented by tourists. the atmosphere is young and the look is breathtaking. A mandatory visit for everyone who passes through Cascais.,Written 26 January 2024,1706227200,Luckily B,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r917211064-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Surfs up!  Beautiful beach ,"Surfs up!  Beautiful beach to learn how to surf. Go se Johnny at Shaka Surf School.  Easiest to get there by car, pay for parking but not expensive. ",Written 18 September 2023,1694995200,stephf777,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r907450230-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,A beautiful beach worth seeing while you’re in Portugal,"As we explored the western coast of Portugal, this was a beautiful beach, and a must see location. It was easy to walk around and every angle offered a stunning view to admire.",Written 2 August 2023,1690934400,Robin B,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r901926295-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Guincho is one of the worlds unique places,This beach is very unpredictable because the weather is also unpredictable. We can have wind and a sea with a lot of swell in the morning and in the afternoon it is phenomenally hot and the sea is calm. Here is where I feel the Atlantic Ocean and where I feel zen with Nature.🌊⛱️☀️,Written 10 July 2023,1688947200,Maria J,5,"https://media-cdn.tripadvisor.com/media/photo-w/29/b5/db/ea/guincho-beach.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/29/b5/db/e8/guincho-beach.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/29/b5/db/dd/guincho-beach.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r899452169-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Great beach bar- fab white sangria & views,"Great beach bar- lovely white sangria & food ( chicken curry mayonnaise tools) , lots of attentive  staff & great views . Visited on a windy day but sat out in the front and loved it- nice & busy- could spend days here- highly recommend a visit",Written 1 July 2023,1688169600,Badtennis,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r892045616-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,LARGE EMPTY BEACH,"The day we visited at 1130, there was only one other person on the beach. Very long and wide beach with decent waves. Windy though.",Written 26 May 2023,1685059200,SoCalOregonian,4,"https://media-cdn.tripadvisor.com/media/photo-m/1280/29/4a/51/b4/uncrowded-vast-expanse.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/29/4a/51/b2/nary-a-soul.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r872426137-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Pleasant 9 km  Cascais-Guincho Beach power walk / run / bicycle trip,"Sorry, this post is not a review of the actual beach - but it’s written to inspire you to do some nice exercise with a magnificent view all the way.<br /><br />The thing is that there is a combined walking path / bicycle lane running along the coast from Cascais to Guincho Beach - 9 kilometers each way.<br /><br />On the way you can:<br /><br />Rent electric bikes<br />Rent electric kick scooters<br />See the famous Boca do Inferno<br />See the Forte de Sao Jorge<br />Enjoy the fresh air and brilliant views<br /><br />- and you don’t have to go all the way; it’s only optional (c;",Written 21 December 2022,1671580800,Christian M,4,"https://media-cdn.tripadvisor.com/media/photo-o/27/84/47/37/pleasant-9-km-cascais.jpg, https://media-cdn.tripadvisor.com/media/photo-o/27/84/47/35/pleasant-9-km-cascais.jpg, https://media-cdn.tripadvisor.com/media/photo-o/27/84/47/33/pleasant-9-km-cascais.jpg, https://media-cdn.tripadvisor.com/media/photo-o/27/84/47/32/pleasant-9-km-cascais.jpg, https://media-cdn.tripadvisor.com/media/photo-o/27/84/47/31/pleasant-9-km-cascais.jpg, https://media-cdn.tripadvisor.com/media/photo-o/27/84/47/30/pleasant-9-km-cascais.jpg, https://media-cdn.tripadvisor.com/media/photo-o/27/84/47/2f/pleasant-9-km-cascais.jpg, https://media-cdn.tripadvisor.com/media/photo-o/27/84/47/2d/pleasant-9-km-cascais.jpg, https://media-cdn.tripadvisor.com/media/photo-o/27/84/47/2c/pleasant-9-km-cascais.jpg, https://media-cdn.tripadvisor.com/media/photo-o/27/84/47/2b/pleasant-9-km-cascais.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r870169378-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Best view of the day!,Portugal is a lovely country and nowhere is that more clear than the beaches around Cascais. Sunset lent a gorgeous light to the view and the weather even in November was perfect for an evening stroll.,Written 29 November 2022,1669680000,Leylinedragon,5,"https://media-cdn.tripadvisor.com/media/photo-w/27/19/5a/b7/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/27/19/5a/b6/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/27/19/5a/b5/caption.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r862736866-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Beautiful beach,It was a lovely sunny day in the beach. Lots of rocks surrounding. Portugal has the best beaches in Europe,Written 1 October 2022,1664582400,Jerves C,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r851895298-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Guincho is a marvel!,"Can't beat this beach only 40-50 minutes from Lisbon by train/Uber (less time if you drive).  It's just far enough to avoid huge crowds in a heat wave (we went on a 95F+ day), and it is a dramatic, beautiful beach with great waves and small waves alike, pristine sand.  Only downside is there are no public restrooms (contrary to what some beach review sites say).  Highly recommend!  ",Written 4 August 2022,1659571200,epbwh,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r848965969-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Great beach especially for surfing,"We made a quick stop here after visiting Sintra and the beach seemed really nice. It is popular mostly for surfing as it can get quite windy here. Not sure if it would be as enjoyable for swimming given the wind, but the views were quite nice and relaxing.",Written 20 July 2022,1658275200,Karim Maarouf,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r846714327-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Sun wind and surf,Special charm of Guincho is so worth visiting-  beautiful beach even if you are not a surfing aficionado ,Written 7 July 2022,1657152000,Padraig F,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r844277407-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Paradise in medium wind. Excellent bar but bike rental was tricky. Don’t use beach cruisers. Bikes have to be back by 7.,"Unreal beach experience.  Well worth the trip!  The beach bar was excellent. Bike rental in Cascáis on our day trip from Lisbon was less than ideal, however. We didn’t understand that the bikes must be returned before 7 and had to hustle our beach cruisers 6 miles back to Cascáis to beat the clock. The bike shop staff didn’t do a good job of informing us about the situation. DONT use beach cruisers for this ride. Mountain bikes are best for the ride from Cascáis to Guincho. Umbrella rental at Guincho beach was also more expensive than expected. The wind at Guincho was perfect when we went in late June. The surfers were not thrilled with the lack of wind but it was great for lounging on the sand.",Written 23 June 2022,1655942400,Kenan,4,https://media-cdn.tripadvisor.com/media/photo-m/1280/24/30/a0/ca/caption.jpg,,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r841272199-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Simply wild and wonderful,"It is very rare to have nice beach days in Guincho (specially in mid Summer) as the winds can be ferocious, but on a quiet day with no wind, this beach offers you unpararelled pleasures. Beware of the big waves and tides",Written 3 June 2022,1654214400,carlos g,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r840028307-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Quick Photos,"Did a quick stop here while in Cascais for some photo opportunities. Lovely beach and was not too crowded, at least during the middle of the work week.",Written 26 May 2022,1653523200,GeneralShamu,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r836312820-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Guincho Beach - the other side of the Atlantic Ocean,"I'm from the east coast of the US and have only seen the Atlantic Ocean from there. This was a cool experience, to see and wade into the water of the Atlantic Ocean from the other side - from Guincho Beach. <br /><br />I visited on a chilly day in April after a side trip to Sintra. Barely anyone was around but the waves crashing against the shore made me feel calm.  Beautiful place and worth a visit.",Written 27 April 2022,1651017600,YayeMama,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g189154-d197710-Reviews-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.co.uk/ShowUserReviews-g189154-d197710-r805573900-Guincho_Beach-Cascais_Lisbon_District_Central_Portugal.html,Far too windy!,"If you don't surf, there is not much you can do, unless you want sand all over you. It's very windy and the sand stings your skin all over your body. It's not worth it and definitely won't return here. It offers a great view when going down to the beach, but that's about it. ",Written 22 August 2021,1629590400,Corina Poșircă,2,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/a9/5b/6f/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/a9/5b/6e/caption.jpg",,
