query,review_link,review_title,review_text,review_date,review_timestamp,author_title,review_rating,review_media,owner_title,owner_response
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r948024758-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,Beautiful beach!,"The beach was beautiful and not crowded.  It is a good place to relax, enjoy a picnic, and to swim.  We stopped on our way to Clifton National Park and then afterward.",Written 23 April 2024,1713830400,Jennifer L,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r939378998-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,Beautiful and More Secluded than Most beaches on the Island,"Beautiful beach, turquoise water and a great view, more secluded than most beaches closer to Nassau.  Takes about half an hour to get there from the Cruise Port.  There's a guy on the beach making rum punch but NOTHING else, no bathroom facilities, no food close by, so you need to go prepared.",Written 22 February 2024,1708560000,Matt W,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r928950718-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,Beautiful beach,This is a beautiful beach. We tried going to the national park but that didn’t work out as the credit card machine was down but it was probably good luck that it was because this beach was just as beautiful and free!,Written 9 December 2023,1702080000,Veronica S,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r927049979-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,Nice relaxing non crowded beach,We rented a car and drove out to Jaws Beach. It was around 10:30am there was us and one other family on the whole beach. There was a little bit of garbage around but over all it was a beautiful beach.,Written 23 November 2023,1700697600,Winston S,5,https://media-cdn.tripadvisor.com/media/photo-m/1280/2a/df/70/c6/caption.jpg,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r925483892-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,🦈 Beach ,"This is a cute little beach on the other side of the island that we were staying, but non the less. It was not busy at all when we went which was nice. Good little place just to relax and take in the views. ",Written 11 November 2023,1699660800,James S,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r896675338-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,Only worth it if you’re seeing the rest of the park.,"Water is gorgeous but it’s not significantly better than other available beaches. Water was pretty but too shallow to swim, when we were there it was somewhat crowded for a very small beach. Wasn’t really worth the trip.  Primary value seems to be location in Clifton park, with it’s historical/cultural attractions. Good to combine but not worth a trip in of itself.",Written 21 June 2023,1687305600,XerxesAlan,3,,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r890342332-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,really nice beach,"Simply amazing, what a lovely beach. Only thing missing would be legal weed. I would recommend the Bahamas to keep up with time.",Written 14 May 2023,1684022400,Hyperion b,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r883680095-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,Paradise found,One of the best beaches on the island with the clearest of waters and amazingly sea life that visits. Better to go in the week as it gets busy during the weekends with some very loud music,Written 26 March 2023,1679788800,slap,5,https://media-cdn.tripadvisor.com/media/photo-w/28/a3/63/e7/caption.jpg,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r873551984-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,Very beautiful white sand beach,My family and I visit Nassau once or twice a year and we love to visit jaws beach. The white sand feels amazing and the sea is beautiful blue.,Written 1 January 2023,1672531200,Leroy,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r870017996-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,Nice Quiet Beach,"We stopped her while out exploring the island.  There were only one or two other cars the whole time we were there.  We walked along the shore for quite a ways and it was quiet and peaceful.  There was a shipwrecked boat that was fun to see and beautiful views of the ocean.  We had a nice time here and would go back again.  It is free and there was plenty if places to park.  It doesn't look like much from the road, but a short walk brought us to paradise.  Worth a stop.",Written 28 November 2022,1669593600,Rodney B,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r869464627-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,Gorgeous small beach,"We went her and had a beautiful time one evening watching the sunset. Loved absolutely every minute of it. It's a small beach, and was only sparsely populated when we went there one evening.<br />There are many hiking path trail heads that start here.",Written 23 November 2022,1669161600,Matthew H,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r866076541-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,Nice quiet beach to spend the day!,"This was a great, quiet beach to visit while on New Providence.  I was told they filmed some scenes from the Jaws movie, but I can't confirm that.  It was fun to walk along the beach and check out the little tide pools.  There weren't a lot of people and trash around.  So, it was a great place to hang out and soak up some sun!  We rented a vacation rental for our stay, and this beach is the one they go to.  <br /><br />Always try to find out where the locals go.  They'll know the best places.  Just be respectful of the space and leave it better than you found it.  Simple.",Written 26 October 2022,1666742400,RonDubbers,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r860246628-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,Nice and private place to relax,Took the Buggy tour to this location and it was great! The beach was semi private and we pretty much had it all to ourselves. ,Written 15 September 2022,1663200000,atbouldersedge,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r855907140-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,Wow,"Amazing beach, clear water, calm, very pretty. Not many people. We had such a great time swimming around the sand bar helps you to walk very far before it gets deep",Written 23 August 2022,1661212800,Patricia,5,https://media-cdn.tripadvisor.com/media/photo-m/1280/25/5b/f0/23/caption.jpg,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r855782897-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,Pretty but warning : sand bugs,"Loved the view, loved the place, loved to take a look at the canal, we took awesome pictures…… but went back home with sand bugs and stings… never had issues at love beach… really sad because the view is just breathtaking there",Written 22 August 2022,1661126400,Andréa,3,,,
https://www.tripadvisor.co.uk/Attraction_Review-g147416-d6653311-Reviews-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,https://www.tripadvisor.co.uk/ShowUserReviews-g147416-d6653311-r839799550-Jaws_Beach-Nassau_New_Providence_Island_Bahamas.html,Best sunset on the island!,This beach is absolutely beautiful. We spent the entire day here with very few other people. We floated in the clear blue water for hours. We strolled down to an overturned boat a little way down the beach and saw so much amazing sea life at the water’s edge. And we watched the most amazing sun set before leaving. A highlight of our trip!!,Written 24 May 2022,1653350400,DejaInCanada,5,"https://media-cdn.tripadvisor.com/media/photo-o/23/83/ce/c5/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/23/83/ce/c4/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/23/83/ce/c3/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-w/23/83/ce/c2/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-w/23/83/ce/c1/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-w/23/83/ce/c0/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-w/23/83/ce/bf/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-w/23/83/ce/be/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-w/23/83/ce/bd/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-w/23/83/ce/bc/caption.jpg",,
