query,review_link,review_title,review_text,review_date,review_timestamp,author_title,review_rating,review_media,owner_title,owner_response
https://www.tripadvisor.co.uk/Attraction_Review-g1219730-d2429101-Reviews-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1219730-d2429101-r780803811-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,"Big waves, crowded and expensive","This is not a beach for people looking for a clam place. The water is very rough, great for surfers, I did not feel very safe in the main street, nothing special about this place, this is a famous beach, things here are very expensive, but as I don't surf, this is not the place for me. ",Written 8 January 2021,1610064000,Thays A,3,,,
https://www.tripadvisor.co.uk/Attraction_Review-g1219730-d2429101-Reviews-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1219730-d2429101-r708933802-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,Peace at last!,"The beach is clean and quiet. No boom boxes and only a few restaurants with beach service at the far end in town. The modern houses and small hotel have some foliage so you are not as aware that their are low buildings that border the beach. Of the beaches that I have visited during my 20 years of Brazil travel, without driving extra hours from my destination, I enjoy it here with the rolling green mountain vistas and clean soft sand.",Written 11 September 2019,1568160000,Rhoni E,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g1219730-d2429101-Reviews-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1219730-d2429101-r668264306-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,Super Waves,very nice an clean beach. high and breathtaking waves. You can rent a surf board at the beach. Lovely bars to have small food or some beers. ,Written 22 April 2019,1555891200,Georg1967,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g1219730-d2429101-Reviews-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1219730-d2429101-r659736183-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,One of the most beautiful beaches ,Amazingly beautiful beach with big waves. Not possible to swim with really small kids but enjoy the surfers and incredible ocean. One of my favorites places in the world. ,Written 19 March 2019,1552953600,Ekaterina B,5,https://media-cdn.tripadvisor.com/media/photo-m/1280/16/e1/02/e9/photo0jpg.jpg,,
https://www.tripadvisor.co.uk/Attraction_Review-g1219730-d2429101-Reviews-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1219730-d2429101-r640503872-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,Loved the beach! ,"Really nice beach, soft sand and smaller waves. Restaurants and shops near by. Good place to spend the day!",Written 19 December 2018,1545177600,Emilia H,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g1219730-d2429101-Reviews-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1219730-d2429101-r631615833-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,Busy - great food - amaizing waves,"Probably the busiest beach I have ever been to!  The waves are super strong, and huge, make sure not to go too deep in the water, as you will be without support in a second.  If you stay in the low waters, you will have a great time though.  I appreciated the service on the beach, including a lot of (bar-)food options.",Written 7 November 2018,1541548800,Robby500,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g1219730-d2429101-Reviews-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1219730-d2429101-r596230191-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,nice place,Nice beach well served with all you could need as drinks and food. Although some parts of the beach were labelled dangerous for swimming.,Written 14 July 2018,1531526400,Rudolf RF,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g1219730-d2429101-Reviews-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1219730-d2429101-r588800437-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,Nice beach,"A very nice beach, in a less populated village. When we arrived there were not so many people here either. But when Easter started, it became a lot more people",Written 19 June 2018,1529366400,håkon U,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g1219730-d2429101-Reviews-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1219730-d2429101-r575625296-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,simply the best,"this beach is great, not so crowded, beautiful beach to walk in peace and enjoy the wonderful scenery, loved it!",Written 25 April 2018,1524614400,Fadia S,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g1219730-d2429101-Reviews-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1219730-d2429101-r574764161-Maresias_Beach-Maresias_Sao_Sebastiao_State_of_Sao_Paulo.html,Horrible! ,"This is the worse hotel that I’ve ever been. Totally overpriced for a poor service, basic and old rooms and really bad food. On top of that management doesn’t care about anything. We have waited more than one hour for some fried shrimps and fries. We asked three times for our food and the waiter rolled his eyes on us. Sad! ",Written 21 April 2018,1524268800,Tal76poz,1,,,
