query,review_link,review_title,review_text,review_date,review_timestamp,author_title,review_rating,review_media,owner_title,owner_response
https://www.tripadvisor.co.uk/Attraction_Review-g1900258-d5957824-Reviews-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1900258-d5957824-r886804978-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,Home to the Annual Margaret River Surf Classic. Great viewing area.,"The Point has a good parking area, good change room facilities and landscaped viewing areas and lookouts where you get a great view of the beach and, of course, any surfing going on.<br /><br />The Surf Classic has been held at this site since 1978. There are three different areas Main Break, Surfside and The Box.<br /><br />I would not swim here though when there is a great beach at Gnarabup a short distance away.",Written 18 April 2023,1681776000,westy54,4,"https://media-cdn.tripadvisor.com/media/photo-m/1280/28/db/33/81/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/28/db/33/61/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/28/db/33/52/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/28/db/33/41/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/28/db/33/28/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/28/db/33/05/caption.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g1900258-d5957824-Reviews-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1900258-d5957824-r866950541-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,Easy access,Beautiful beach with plenty of facilities and ample parking. Popular spot for sunset. Nearby Sea Garden restaurant worth a visit but it closes in the afternoon.,Written 2 November 2022,1667347200,SwordsPat,5,https://media-cdn.tripadvisor.com/media/photo-w/26/c4/b8/72/caption.jpg,,
https://www.tripadvisor.co.uk/Attraction_Review-g1900258-d5957824-Reviews-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1900258-d5957824-r840165517-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,Best location to watch the wave,Went to this view point so many times during our stay in Margaret River. The view is awesome and there are many parking lots to just park and enjoy some lunch or even a drink. Its great to walk around as well and even head down to the beach.,Written 27 May 2022,1653609600,Louis Chia,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g1900258-d5957824-Reviews-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1900258-d5957824-r816288896-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,Great view opf the Surf and Whale Watching,We were just at Surfers Point a couple of weeks ago.Luckily the sun was shinning and we had a great view of the ocean and were lucky enough to catch a glimpse of some whales in the distance.Lots of people there surfing(does anyone work midweek?) and the car park was quite full.We have been there before on a weekend and there is a coffee van there that makes a great cuppa.Probably the best part of the beach at Prevelly,Written 27 October 2021,1635292800,caddyandbellA,4,"https://media-cdn.tripadvisor.com/media/photo-m/1280/21/22/19/85/north-to-the-river-mouth.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/21/22/19/77/from-the-lookout.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/21/22/19/6a/looked-good-for-snorkelling.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g1900258-d5957824-Reviews-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1900258-d5957824-r790704055-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,Great Amenities for Surfers & Visitors,"The overcast conditions, rain and winds were a bit of a damper. If I was to select a favourite beach area, this would probably be it although unlikely to ever get me on a beach nowadays. Great improvements over the years with grassed areas, walking tracks, parking and allied amenities to cater for surfers and visitors. A few brave, or foolhardy, surfers on the beach, boards in hand and contemplating the swells. Didn't see any of them venture into the water while we were there.",Written 1 June 2021,1622505600,Dan L,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g1900258-d5957824-Reviews-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1900258-d5957824-r788818876-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,"Awesome views, great spot.","Absolutely loved our time here, beautiful views, lots of surfers and even some seals. Love grassed areas to sit, clean toilets and lots of parking. Unfortunately a bit to cloudy for a good sunset but I bet it’s spectacular.",Written 15 May 2021,1621036800,Judith K,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g1900258-d5957824-Reviews-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1900258-d5957824-r785072726-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,Surf,"We visited this beach area on a windy day but apparently that's how it always is.  It's very well organised with very good car parking, toilets and boardwalk and viewing areas for those who want to enjoy watching the surfers, sailboarders and the like.  Great to be able to avoid sand!<br /><br />When we were there we saw sailboarders and kite surfers.  All very experienced judging by their skill levels.  The sea was certainly making them work.<br /><br />Worth a visit.",Written 23 March 2021,1616457600,gfsc5,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g1900258-d5957824-Reviews-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1900258-d5957824-r777581634-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,Always windy always beautiful ,Todays trip was our second time in 2 years at this location. Always fresh breeze and stunning beaches. Finally we got a time to catch up on some suntan. Chillax at its best,Written 21 November 2020,1605916800,Rado_Livka,5,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/58/48/c0/photo1jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/58/48/bf/photo0jpg.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g1900258-d5957824-Reviews-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1900258-d5957824-r763433533-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,Absolute must see when at Margaret river region,"We are not surfers but we always enjoy visiting prevelley surfers point every time we are in the area . About 10 minutes drive from Margaret river township , it has stunning views of the ocean . Its very well set up for families with barbecues, benches and stairs all the way to the beach . Dog friendly beach. Toilets and showers too. Great place to catch the sunset and go for long walks . ",Written 6 August 2020,1596672000,Amelia,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g1900258-d5957824-Reviews-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,https://www.tripadvisor.co.uk/ShowUserReviews-g1900258-d5957824-r751296013-Surfers_Point-Prevelly_Margaret_River_Region_Western_Australia.html,Stunning beach view with strong waves,"Stunning beach view with strong waves. I was so amazed to see such a beautiful beach that is used for surfing competitions in Australia. I came in march 2020, thus the weather is a bit weird with little rains, cold strong wind, and most of time sunshine. But the view is simply breathtaking, nothing in my experience comes close to this.",Written 18 March 2020,1584489600,Ferry Mulyadi,5,,,
