query,review_link,review_title,review_text,review_date,review_timestamp,author_title,review_rating,review_media,owner_title,owner_response
https://www.tripadvisor.co.uk/Attraction_Review-g2034319-d589953-Reviews-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g2034319-d589953-r942974876-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,Nice beach but be careful,Beautiful beach and very long so it is ideal for long walks. On both sides of the beach there are saltwater pools. Pay attention to the signs as there are dangerous currents and it is always full of Portuguese man o' war jellyfish.,Written 20 March 2024,1710892800,Erika,5,"https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/ab/7a/73/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/ab/7a/72/caption.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g2034319-d589953-Reviews-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g2034319-d589953-r828724691-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,Endless views of the ocean,"Beautiful beach and great sunset views, and if you are lucky you can spot whales during mating season, endless views of the ocean.",Written 21 February 2022,1645401600,gaurav s,5,"https://media-cdn.tripadvisor.com/media/photo-m/1280/22/25/78/35/rock-pool-on-the-beach.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/22/25/77/ec/nearby.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/22/25/77/93/rock-pool.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g2034319-d589953-Reviews-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g2034319-d589953-r762182517-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,"Beautiful beach, lagoon, walks and rock pool","Narrabeen beach has so much to offer. Including exposed rocks during low tide, a lagoon that is located next to the rock pool. Long sandy beach to go on a nice long walk or bi-centennial coastal walk up the coast to Warriewood beach and further.",Written 30 July 2020,1596067200,Lyn A,5,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/a7/78/57/ground-level.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/a7/78/47/taken-on-bi-centennial.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g2034319-d589953-Reviews-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g2034319-d589953-r760584342-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,A Mecca for surfers,"North Narrabeen has long been renowned for having some of the best, most consistent waves on the East Coast and along the way the area has produced some of Australia's most famous surfers. From the lookout on the point at the northern end of the beach you can see the current crop ply their skills. (Just look for the crowd of onlookers with cameras.)<br />If you are not a red-hot surfer North Narrabeen still has plenty to offer. There are very good ocean baths also at the north end that attract families and serious lap swimmers. The beach is also very long, extending several kms to Collaroy Beach in the south. Very good for a long beach walk and there are plenty of uncrowded (though also unpatrolled) sections along the way too.",Written 19 July 2020,1595116800,JElliot32,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g2034319-d589953-Reviews-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g2034319-d589953-r752952765-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,Beautiful beach ? ???????????,"North Narrabeen beach is nestled bedside Narrabeen lagoon and has a stunning Rockpool and a long sandy beach which is fabulous for surfing . <br /><br />Walking around the lagoon is also excellent for all age groups with a dedicated pathway for bicycles and pedestrians. The lagoon also has several beautiful spots for swimming, fishing or canoeing ?. <br /><br />North Narrabeen beach is located on the northern beaches 25km north of the CBD. ",Written 27 April 2020,1587945600,Ellemay ???,5,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/49/f8/43/photo6jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-w/1b/49/f8/42/photo5jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-w/1b/49/f8/41/photo4jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-w/1b/49/f8/40/photo3jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-w/1b/49/f8/3f/photo2jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-w/1b/49/f8/3e/photo1jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/49/f8/3d/photo0jpg.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g2034319-d589953-Reviews-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g2034319-d589953-r749829936-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,Lovely Beach,Swimming in our oceans with life guards and on North Narrabeen is a gr888t day out at the beach for anyone,Written 8 March 2020,1583625600,bronwyn M,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g2034319-d589953-Reviews-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g2034319-d589953-r734515399-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,Perfect place ,"Absolutely beautiful spot. Love the ocean rockpool, which is excellent for recreational or lap swimming. The headland and inlet are fantastic ",Written 24 December 2019,1577145600,Oscar Smith,5,"https://media-cdn.tripadvisor.com/media/photo-o/1a/62/ea/bc/20191224-081546-largejpg.jpg, https://media-cdn.tripadvisor.com/media/photo-o/1a/62/ea/bb/20191224-081616-largejpg.jpg, https://media-cdn.tripadvisor.com/media/photo-o/1a/62/ea/ba/20191224-081558-largejpg.jpg, https://media-cdn.tripadvisor.com/media/photo-o/1a/62/ea/b9/20191224-081545-largejpg.jpg, https://media-cdn.tripadvisor.com/media/photo-o/1a/62/ea/b8/20191224-081051-largejpg.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g2034319-d589953-Reviews-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g2034319-d589953-r732992306-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,Beautiful Beach for walking or Surfing,"Fabulous beach, with excellent waves for surfing. Clean and picturesque.  Has a great rock pool for swimming as well, and the lagoon, but this needs to be open to the surf, for optimum water quality.",Written 16 December 2019,1576454400,Sandy T,5,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/4e/98/79/20190825-125130-largejpg.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/4e/98/78/20190825-125118-largejpg.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/4e/98/77/20190825-125149-largejpg.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/4e/98/76/20190825-125053-largejpg.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g2034319-d589953-Reviews-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g2034319-d589953-r717538727-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,"North Narrabeen Surf Life Saving Club. Has a hideaway cafe/restaurant, that is not mentioned in Trip Adviser.","With “eat in or alfresco” on the balcony overlooking the surf & sand. My daughters & I had a delicious meal, and great coffee. It is so good we often eat there, . Prices reasonable. Casual dress. So relaxing watching the waves roll in! Hidden gem!",Written 12 October 2019,1570838400,G.G.,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g2034319-d589953-Reviews-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,https://www.tripadvisor.co.uk/ShowUserReviews-g2034319-d589953-r710681960-North_Narrabeen_Beach-Narrabeen_Warringah_Greater_Sydney_New_South_Wales.html,Amazing Beach,"A very nice beach, wasn't busy when we were there but we were told by locals that it does get very busy in Summer. Most public car parking is paid parking and actively monitored by Council.",Written 17 September 2019,1568678400,Shaghil,5,,,
