query,review_link,review_title,review_text,review_date,review_timestamp,author_title,review_rating,review_media,owner_title,owner_response
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r942208019-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,Love this spot for swimming.,Beautiful little cove for swimming. My husband and I like to arrive by 9AM and lay in the sun on a towel on the beach for a little while and then rent chairs under the shade. It's a fun place to swim. Great people watching too as by 11AM-ish it starts to get pretty busy. Lots of families in the shallow water laughing and having a great time. Rental chairs are comfortable and a nice break from the sun. Excellent half day.,Written 13 March 2024,1710288000,HLSHWS,5,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/9f/68/3e/caption.jpg,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r940612384-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,Okay not worth going out of your way for,"Pretty beach but very crowded, more of a local beach since the waves aren’t as high as other beaches. The people working at the restaurants there are not very happy with the people that go there, kinda rude. I asked for price on two lounge chairs and umbrella, 400 pesos. I keeps walking to check out other prices and on the way I bought a coconut from another vendor. I went back to the original place to get the lounge chairs since that was the best price. The guys working there glared at us with darting eyes and said “no you can’t sit here any more because you bought something from another place.” Really you’re gonna turn down $400 pesos because I spent $70 on a coconuts? Ridiculous. Over all it’s okay, if it’s on your way check it out but otherwise you’re not missing much.",Written 2 March 2024,1709337600,Katherine S,2,,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r939848108-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,Beautiful but busy,"Such a beautiful beach to swim in the warm turquoise waters of Mexico! The beach was easy to find and we had a relaxing time day under a beach umbrella (paid 400MXN), however we were told this was a more chill spot with less tourists but this was definitely not the case. It was absolutely packed, would’ve loved to have hired a board to surf but there were a thousand kooks out and service wasn’t great - every one avoided us and couldn’t crack a smile out of anyone lol",Written 26 February 2024,1708905600,Jorgie H,3,,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r934136483-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,Beautiful Beach,"The walk down the stairs was a bit difficult for my left knee that was banged up after a violent boat ride the previous day for dolphin watching.  Once you make the walk down the 167 steps, the beach is really beautiful and worth the effort to get to.  I watched the sunset one evening, then on my last day, I took a morning swim in the ocean.  Playa Carrizalillo is a fantastic gem of a place and a must visit!",Written 15 January 2024,1705276800,digitalroc,5,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/39/7a/65/caption.jpg,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r929469847-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,LOVE!!!!!,"Love this area!!!!!  best loction in Puerto Escondido! It's Beautiful, cool, laidback, quiet with a cool vibe, I highly reccomend it!",Written 14 December 2023,1702512000,DirtyBlondeBird,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r917454427-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,Favorite beach in the area,"I visited half a dozen beaches in the area, and this was by far my favorite. I went in the morning when there was plenty of shade and enjoy chilaquiles prepared on the site for a reasonaly priced breakfast. The waves were gentle enough to swim in, but there were also surfers out. ",Written 19 September 2023,1695081600,GFEric,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r901197962-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,Crystal clear water with great snorkeling,The best beach in Oaxaca Mexico in my opinion. The water is crystal clear and there are plenty of fish to see. It reminds me a lot of Hanauma Bay Hawaii. ,Written 7 July 2023,1688688000,Jay,5,,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r889126750-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,Don't come here to surf unless you like huge crowds of beginners and angry locals,"A nice beach, but always overcrowded. The surfing vibe is the worst I've ever seen - 50+ people out there all the time and people telling you to leave. Don't come here to surf because if you're not a local, and not Mexican, they will treat you poorly you and tell you to leave. Overall being white in Puerto Escondido means you mostly don't get treated well. Take your tourism or digital nomading elsewhere if you are white. Looks like it would be good for snorkeling. ",Written 5 May 2023,1683244800,sentient A,1,,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r885845182-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,Incredibly fun!,"My wife and I had the time of our lives on this beach. The clear water, the subtly dangerous waves, the weather, even the sexy people all around, made this a perfect spot to spend a day. Just choose your resting spot carefully because sudden waves may steal your sandals.",Written 11 April 2023,1681171200,Iván S,5,https://media-cdn.tripadvisor.com/media/photo-w/28/cc/95/1d/caption.jpg,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r878575839-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,Beach restaurant rip off,Beach restaurant rip off<br />Be careful as some of the restaurants here charge to rent the chairs with the food and drinks being extra to the chair rental.  We had not experienced this elsewhere so make sure to ask what is included with the chair rental.,Written 13 February 2023,1676246400,Ron C,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r871819257-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,"Great spot, to young for me..","Lovely spot, but it was like an 18/ 30 holiday vibe, so if you’re into that, great, I think I’m just too old for that now..unfortunately.",Written 15 December 2022,1671062400,Darren,3,https://media-cdn.tripadvisor.com/media/photo-m/1280/27/63/63/ce/caption.jpg,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r868731161-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,tropical beach escape,beautiful tropical escape. <br />go down many steps and watch the sunset. <br />the water was warm & it was a great beach to chill. it's off the beaten path & because of the steps less people go there.,Written 16 November 2022,1668556800,MiMerryTravels,5,"https://media-cdn.tripadvisor.com/media/photo-m/1280/26/e3/c1/ad/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-m/1280/26/e3/c1/ac/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-w/26/e3/c1/ab/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-w/26/e3/c1/aa/caption.jpg",,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r854090106-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,Pleasant time in the ocean,"We stayed and swam after a morning outing with Omar's Sport Fishing.  It seems to be mostly locals on this beach, although also saw some other tourists.  It is not so much a swimming location as a bob around relaxing in the water spot.  The beach is not huge and there are boats anchored nearby, but it was a really pleasant place to spend the afternoon.  I don't know that we would make a special trip (pay for taxi, etc.), but enjoyed the time since we were already there.",Written 14 August 2022,1660435200,Aero3926,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r836167869-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,Violent surfers beware,I rented a surfboard there and was not told by the surfboard rentals that there are violent surfers from the rental company.  I got punched surfing on the wrong side of the beach and I was far away from every surfer not posing a threat.   He wanted to drown me…The violent surfer said this is Mexico and I tell you where to go you go or I will kill you!   The guy may work for the surfboard company because I seen him with the surfboard rental area hanging out.,Written 26 April 2022,1650931200,Frank C,1,https://media-cdn.tripadvisor.com/media/photo-o/23/38/d6/46/caption.jpg,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r831021351-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,Villas Carrizalillo,"Excellent rooms,amazing sunsets , and being situated to a fab restaurant called Espadin, made it a good location. <br />Downside is the very small pool. ",Written 13 March 2022,1647129600,Peter H,4,,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r825039509-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,"NOT THE BEST BEACH ,TO CROWDED","I tried to swim each day in different locale. This was my frist day visit and it was very crowded, and could really not find a good spot. Went to end and grabbed a chair at a club and ordered a beer just to cool down. Then took a long swim in calm water. This place sorry not for me",Written 15 January 2022,1642204800,srimanone,3,,,
https://www.tripadvisor.co.uk/Attraction_Review-g153373-d152482-Reviews-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,https://www.tripadvisor.co.uk/ShowUserReviews-g153373-d152482-r812470144-Playa_Carrizalillo-Puerto_Escondido_Southern_Mexico.html,The most swimmable beach in Puerto Escondido.,Of all the beaches we visited this one was the only one that we got to really enjoy being in the water and got to swim a bit. It is mainly a surfing beach but there are a lot of people swimming too. The beds/chairs from the restaurants arepricey compared to other places so just sit on the sand. ,Written 30 September 2021,1632960000,NoeReyes,3,,,
